Node,ID
http://www.ebi.ac.uk/efo/EFO_0001378,EFO_0001378
http://www.ebi.ac.uk/efo/EFO_0001379,EFO_0001379
http://www.ebi.ac.uk/efo/EFO_0001380,EFO_0001380
http://www.ebi.ac.uk/efo/EFO_0001416,EFO_0001416
http://www.ebi.ac.uk/efo/EFO_0001421,EFO_0001421
http://www.ebi.ac.uk/efo/EFO_0001422,EFO_0001422
http://www.ebi.ac.uk/efo/EFO_0001423,EFO_0001423
http://www.ebi.ac.uk/efo/EFO_0001425,EFO_0001425
http://www.ebi.ac.uk/efo/EFO_0001642,EFO_0001642
http://www.ebi.ac.uk/efo/EFO_0001645,EFO_0001645
http://www.ebi.ac.uk/efo/EFO_0001663,EFO_0001663
http://www.ebi.ac.uk/efo/EFO_0001666,EFO_0001666
http://www.ebi.ac.uk/efo/EFO_0001668,EFO_0001668
http://www.ebi.ac.uk/efo/EFO_0001675,EFO_0001675
http://www.ebi.ac.uk/efo/EFO_0002087,EFO_0002087
http://www.ebi.ac.uk/efo/EFO_0002422,EFO_0002422
http://www.ebi.ac.uk/efo/EFO_0002423,EFO_0002423
http://www.ebi.ac.uk/efo/EFO_0002424,EFO_0002424
http://www.ebi.ac.uk/efo/EFO_0002425,EFO_0002425
http://www.ebi.ac.uk/efo/EFO_0002426,EFO_0002426
http://www.ebi.ac.uk/efo/EFO_0002427,EFO_0002427
http://www.ebi.ac.uk/efo/EFO_0002428,EFO_0002428
http://www.ebi.ac.uk/efo/EFO_0002429,EFO_0002429
http://www.ebi.ac.uk/efo/EFO_0002430,EFO_0002430
http://www.ebi.ac.uk/efo/EFO_0002431,EFO_0002431
http://www.ebi.ac.uk/efo/EFO_0002461,EFO_0002461
http://www.ebi.ac.uk/efo/EFO_0002496,EFO_0002496
http://www.ebi.ac.uk/efo/EFO_0002497,EFO_0002497
http://www.ebi.ac.uk/efo/EFO_0002498,EFO_0002498
http://www.ebi.ac.uk/efo/EFO_0002499,EFO_0002499
http://www.ebi.ac.uk/efo/EFO_0002500,EFO_0002500
http://www.ebi.ac.uk/efo/EFO_0002501,EFO_0002501
http://www.ebi.ac.uk/efo/EFO_0002502,EFO_0002502
http://www.ebi.ac.uk/efo/EFO_0002504,EFO_0002504
http://www.ebi.ac.uk/efo/EFO_0002507,EFO_0002507
http://www.ebi.ac.uk/efo/EFO_0002509,EFO_0002509
http://www.ebi.ac.uk/efo/EFO_0002510,EFO_0002510
http://www.ebi.ac.uk/efo/EFO_0002511,EFO_0002511
http://www.ebi.ac.uk/efo/EFO_0002517,EFO_0002517
http://www.ebi.ac.uk/efo/EFO_0002608,EFO_0002608
http://www.ebi.ac.uk/efo/EFO_0002609,EFO_0002609
http://www.ebi.ac.uk/efo/EFO_0002610,EFO_0002610
http://www.ebi.ac.uk/efo/EFO_0002612,EFO_0002612
http://www.ebi.ac.uk/efo/EFO_0002613,EFO_0002613
http://www.ebi.ac.uk/efo/EFO_0002615,EFO_0002615
http://www.ebi.ac.uk/efo/EFO_0002616,EFO_0002616
http://www.ebi.ac.uk/efo/EFO_0002617,EFO_0002617
http://www.ebi.ac.uk/efo/EFO_0002618,EFO_0002618
http://www.ebi.ac.uk/efo/EFO_0002621,EFO_0002621
http://www.ebi.ac.uk/efo/EFO_0002622,EFO_0002622
http://www.ebi.ac.uk/efo/EFO_0002623,EFO_0002623
http://www.ebi.ac.uk/efo/EFO_0002626,EFO_0002626
http://www.ebi.ac.uk/efo/EFO_0002627,EFO_0002627
http://www.ebi.ac.uk/efo/EFO_0002628,EFO_0002628
http://www.ebi.ac.uk/efo/EFO_0002629,EFO_0002629
http://www.ebi.ac.uk/efo/EFO_0002630,EFO_0002630
http://www.ebi.ac.uk/efo/EFO_0002686,EFO_0002686
http://www.ebi.ac.uk/efo/EFO_0002687,EFO_0002687
http://www.ebi.ac.uk/efo/EFO_0002689,EFO_0002689
http://www.ebi.ac.uk/efo/EFO_0002890,EFO_0002890
http://www.ebi.ac.uk/efo/EFO_0002892,EFO_0002892
http://www.ebi.ac.uk/efo/EFO_0002893,EFO_0002893
http://www.ebi.ac.uk/efo/EFO_0002894,EFO_0002894
http://www.ebi.ac.uk/efo/EFO_0002913,EFO_0002913
http://www.ebi.ac.uk/efo/EFO_0002914,EFO_0002914
http://www.ebi.ac.uk/efo/EFO_0002916,EFO_0002916
http://www.ebi.ac.uk/efo/EFO_0002917,EFO_0002917
http://www.ebi.ac.uk/efo/EFO_0002918,EFO_0002918
http://www.ebi.ac.uk/efo/EFO_0002919,EFO_0002919
http://www.ebi.ac.uk/efo/EFO_0002920,EFO_0002920
http://www.ebi.ac.uk/efo/EFO_0002921,EFO_0002921
http://www.ebi.ac.uk/efo/EFO_0002938,EFO_0002938
http://www.ebi.ac.uk/efo/EFO_0002939,EFO_0002939
http://www.ebi.ac.uk/efo/EFO_0002945,EFO_0002945
http://www.ebi.ac.uk/efo/EFO_0002970,EFO_0002970
http://www.ebi.ac.uk/efo/EFO_0003014,EFO_0003014
http://www.ebi.ac.uk/efo/EFO_0003016,EFO_0003016
http://www.ebi.ac.uk/efo/EFO_0003017,EFO_0003017
http://www.ebi.ac.uk/efo/EFO_0003025,EFO_0003025
http://www.ebi.ac.uk/efo/EFO_0003026,EFO_0003026
http://www.ebi.ac.uk/efo/EFO_0003027,EFO_0003027
http://www.ebi.ac.uk/efo/EFO_0003028,EFO_0003028
http://www.ebi.ac.uk/efo/EFO_0003029,EFO_0003029
http://www.ebi.ac.uk/efo/EFO_0003030,EFO_0003030
http://www.ebi.ac.uk/efo/EFO_0003032,EFO_0003032
http://www.ebi.ac.uk/efo/EFO_0003033,EFO_0003033
